"RSQ";"Ort";"Platz";"Geschlecht";"SKM"
7;"Berlin";"1  -  3";"W";"S_KM_FN"
7;"Berlin";"1  -  5";"W";"S_KM_15"
7;"Berlin";"1  -  5";"W";"S_KM_20"
7;"Berlin";"1  -  3";"W";"S_KM_10"
7;"Berlin";"1  -  5";"W";"S_KM_HM"
7;"Berlin";"1  -  5";"W";"S_KM_25"
7;"Berlin";"1  -  10";"W";"S_KM_10"
7;"Berlin";"1  -  5";"W";"S_KM_FN"
6;"Berlin";"1  -  10";"W";"S_KM_25"
6;"Berlin";"1  -  10";"W";"S_KM_30"
6;"Berlin";"1  -  3";"W";"S_KM_40"
6;"Berlin";"1  -  10";"W";"S_KM_20"
6;"Berlin";"1  -  10";"W";"S_KM_HM"
6;"Berlin";"1  -  5";"W";"S_KM_35"
6;"Berlin";"1  -  10";"W";"S_KM_35"
6;"Berlin";"1  -  10";"W";"S_KM_FN"
6;"Berlin";"1  -  5";"W";"S_KM_30"
6;"Berlin";"1  -  10";"W";"S_KM_40"
6;"Berlin";"1  -  10";"W";"S_KM_15"
6;"Berlin";"1  -  5";"W";"S_KM_40"
4;"Berlin";"1";"W";"S_KM_15"
3;"Berlin";"1";"W";"S_KM_10"
36;"Berlin";"1";"M";"S_KM_30"
33;"Berlin";"1";"M";"S_KM_25"
31;"Berlin";"1";"M";"S_KM_5"
26;"Berlin";"1";"M";"S_KM_HM"
25;"Berlin";"1";"M";"S_KM_20"
19;"Berlin";"1";"M";"S_KM_35"
17;"Berlin";"1";"M";"S_KM_10"
15;"Berlin";"1  -  5";"M";"S_KM_10"
14;"Berlin";"1";"M";"S_KM_15"
11;"Berlin";"1";"M";"S_KM_40"
10;"Berlin";"1  -  10";"M";"S_KM_10"
9;"Berlin";"1  -  3";"M";"S_KM_10"
9;"Berlin";"1  -  5";"M";"S_KM_15"
8;"Berlin";"1  -  3";"M";"S_KM_15"
7;"Berlin";"1  -  5";"M";"S_KM_5"
7;"Berlin";"1";"M";"S_KM_FN"
